Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Home-made, Raw Processed Processed Raw; Yogurt, Example Apple; Tomato, RTPC; Canteen, RTPC; ",Supplementary Table s1 Food cathegorization,,,,,,
"PRESENCE, TOMATO PLANTS IN; ",EFFECT OF PESTICIDES AND FLY ASH ON THE MACRO AND MICRO NUTRIENTS STATUS OF THE SOILS AND GROWTH OF TOMATO PLANTS IN PRESENCE AND ABSENCE OF MELOIDOGYNE INCOGNITA.,DEDICATED TO MV EVER LOViNQ FATHER LATE SHRl CH ATTRA PAL SIN6H,,,551,,
"TOMATO, INDETERMINATE; Zoltán, PÉK; ",EFFECTS OF ROOTSTOCK ON YIELD AND FRUIT QUALITY OF,,,,,,
"Spaghetti, Venetian Whole-Wheat; Tomato, Caper; Chops, Lamb; Toast, Anisette; Eggs, Stuffed; Fritters, Basil; Meatballs, Lemon; Mushrooms, Marinated; Mushrooms, Veal Stuffed; Olives, Marinated; ","628 1,000 Italian Recipes",Sage,33,,34,,
"Tomato, I; ",Are You Anemic?,The Iowa Homemaker,12,3,10,,
"Root, Characterizing Tomato Rootstock; ",Optimizing Planting Design for Neighborhood Ponds,,,,,,
"Chicken, Mexican Style; Fish, Bubble Coated; Tomato, Cherry; Flan, Cheese; Wrap, Bean; ",HOLIDAY INSET,Sage,1,7,8-9,,
"Topping, Potato; Beef, Roast; Pudding, Yorkshire; Chicken, Mexican Style; Fish, Bubble Coated; Tomato, Cherry; Flan, Cheese; Wrap, Bean; Pasta, Vegetable Bolognaise; Carrots, Fresh; ",TUTTI FRUTTI THURSDAY,Sage,1,7,8-9,,
"TOMATO, HARVESTED; ",Asian Journal of Research in Pharmaceutical Sciences and Biotechnology,,,,,,
"Cress, Coriander; Dressing, Sesame; Parcel, Crispy Prawn; Rolls, Vegetable Spring; Tatin, Tomato Tarte; Raspberry, Lemon; Tartlet, Mascarpone; Brûlée, Mini Crème; Mousse, Mini Chocolate; Pie, Mini Lemon Meringue; ",FROM THE LAND,,,,,2017,
"Bolognaise, Spaghetti; Pudding, Yorkshire; Casserole, Winter Vegetable; Pasta, Fresh Pesto; Pasta, Chunky Tomato; Fishcake, Salmon; Beans, Baked; Carrots, Fresh; Beans, Green; Potatoes, Roast; ",ALLERGEN KEY,Sage,1,,8,,
"TOMATO, GUJARAT; ",AJH,AJH,9,2,361,2014,
"Testicles, GM Soy Damages; Corn, BT; Corn, GM; Tomato, FlaverSavr; Pea, GM; ","GMO Safety Issues based on Science, Part 2 OFA Organic Update-April 2012",,,,,,
"Onion, Fresh; Onion, Procese; Tomato, Fresh; ",cut.,,,,,,
"TOMATO, TOLERANCE IN; ",THE UNIVERSITY OF DAR-ES-SALAAM,,,,,2011,
"TOMATO, FUNGAL PATHOGENS ON; ",TAVGA SULAIMAN RASHID,,,,,2016,
"TOMATO, TO HUSK; ",ANÁLISIS DE SENSIBILIDAD GLOBAL DEL MODELO DE CULTIVOS SUCROS APLICADO A TOMATE DE CÁSCARA,,,,,,
"TOMATO, LYCOPENE IN; ",ISPITIVANJE SADRŽAJA NEKIH NUTRIJENATA I LIKOPENA U PLODU,,,,,,
"VIABILITY, POLLEN; TOMATO, SEED SIZE IN HUSK; ","VIABILIDAD, TAMAÑO DEL POLEN Y DE LA SEMILLA EN GENOTIPOS DE TÓMATE DE CASCARA (Physalis ixocarpa Brot.)",,,,,,
"TOMATO, RESPONSE OF TWO; ",ﬁg UNDER SALT STRESS,,,,,,
